INPUT_TABLE,,,,,
Variable ID,,,,,
TranTechLoadFactor,,,,,
,,,,,
region,supplysector,tranSubsector,tranTechnology,year,loadFactor
India,trn_pass_road_LDV_4W,LDV_4W,Electric,1975,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Electric,1990,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2005,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,2.44
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,2.39
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,2.33
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2025,2.44
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2030,2.55
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2035,2.66
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2040,2.77
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2045,2.88
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2050,3
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2055,3
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2060,3
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2065,3
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2070,3
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2075,3
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2080,3
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2085,3
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2090,3
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2095,3
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2100,3
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,1975,2.75
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,1990,2.75
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2005,2.75
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2010,2.44
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2015,2.39
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2020,2.33
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2025,2.44
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2030,2.55
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2035,2.66
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2040,2.77
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2045,2.88
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2050,3
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2055,3
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2060,3
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2065,3
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2070,3
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2075,3
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2080,3
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2085,3
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2090,3
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2095,3
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2100,3
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,1975,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,1990,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2005,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2010,2.44
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2015,2.39
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2020,2.33
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2025,2.44
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2030,2.55
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2035,2.66
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2040,2.77
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2045,2.88
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2050,3
India,trn_pass_road_LDV_4W,LDV_4W,Liquids,2055,3
